feature,shap_mean,shap_ratio,decision
rolling_mean_30d,1.1260944042468732,1.0,KEEP
rolling_mean_60d,0.4315311600229509,0.3832104647669899,KEEP
venta_media_historica,0.3827986440647267,0.3399347715618396,KEEP
onpromotion,0.27002116525470327,0.23978554927221415,KEEP
transactions,0.1577013623671653,0.14004275465042848,KEEP
ranking_tienda,0.08959029289205152,0.07955842117159714,KEEP
lag_364,0.07081346997210053,0.06288413272016945,KEEP
venta_std_historica,0.06960993320957122,0.06181536196880938,KEEP
dia_semana,0.06914093717161117,0.061398881755257734,KEEP
semana_del_año,0.06615087767843049,0.05874363412956651,KEEP
lag_30,0.056438448809636804,0.05011875433959072,KEEP
tiene_promo,0.04027351020489283,0.03576388449583636,KEEP
dias_para_siguiente_festivo,0.03620179362023896,0.032148098315478754,KEEP
rolling_promo_mean_60,0.03071473764148364,0.027275455348724085,KEEP
rolling_mean_90d,0.028301297527776242,0.02513226015602486,KEEP
rolling_max_30d,0.02459637809502363,0.021842199021913776,KEEP
family,0.021909867553401262,0.019456510458423316,KEEP
trimestre,0.02106306758560709,0.018704530904488394,KEEP
dias_para_fin_de_mes,0.017986422100537722,0.015972392752068562,KEEP
rolling_max_90d,0.017610313826804773,0.01563839919671963,KEEP
lag_90,0.015052255850751008,0.01336677972466961,KEEP
trans_rolling_mean_30,0.014886590320859028,0.01321966459003507,KEEP
dcoilwtico,0.014598157433432485,0.012963528970908673,KEEP
rolling_std_30d,0.013910059868459626,0.012352481120588297,KEEP
cv_ventas,0.013815334784453745,0.012268362876461835,KEEP
type,0.013166891355315265,0.011692528890702748,KEEP
store_nbr,0.010928076290291104,0.009704405109445287,KEEP
trans_lag_30,0.009698819321717954,0.008612794171732413,KEEP
dias_desde_ultimo_festivo,0.008090016179578169,0.00718413673761991,KEEP
oil_lag_90,0.007913990825468311,0.007027821819930943,KEEP
lag_60,0.007668605164554973,0.006809913214766128,KEEP
oil_lag_364,0.007574766012186724,0.006726581700095289,KEEP
es_fin_de_semana,0.007542900772253212,0.006698284569931656,KEEP
rolling_std_60d,0.006719672612310625,0.005967237371013056,KEEP
promo_lag_30,0.005317594156535054,0.004722156629569114,KEEP
rolling_std_90d,0.004711754471334094,0.004184155834150773,KEEP
cluster,0.004262335164248894,0.0037850602473240456,KEEP
holiday_type,0.003904484311584964,0.003467279738590181,KEEP
rolling_max_60d,0.00371454564256006,0.003298609449217831,KEEP
oil_rolling_mean_90,0.0029752086918683213,0.002642059742635989,KEEP
city,0.0026358739235202147,0.0023407219799507616,KEEP
oil_rolling_mean_30,0.0022485925827205313,0.0019968064615545084,KEEP
oil_rolling_mean_60,0.002236159683295013,0.001985765735858129,KEEP
oil_lag_30,0.002155227701264027,0.001913896111317091,KEEP
es_festivo,0.0016842696994465566,0.001495673624781919,KEEP
es_inicio_mes,0.001482827032902598,0.0013167874978424262,KEEP
oil_lag_60,0.0014148942770363414,0.0012564615113087399,KEEP
transferred,0.0013912237603559004,0.0012354415003832156,DROP_CANDIDATE
semana_del_mes,0.0013782003642999869,0.001223876398907888,DROP_CANDIDATE
holiday_locale,0.0013295116268288892,0.0011806395820944163,DROP_CANDIDATE
state,0.0013291414222467454,0.0011803108311648784,DROP_CANDIDATE
holiday_impact_type,0.00114782409339045,0.001019296507523372,DROP_CANDIDATE
oil_pct_change_30,0.0008019848331683027,0.0007121825933454189,DROP_CANDIDATE
es_quincena,0.0005244065360976258,0.0004656861219804626,DROP_CANDIDATE
es_post_festivo,0.0001700429119336595,0.00015100235938689653,DROP_CANDIDATE
es_traslado,0.0,0.0,DROP_CANDIDATE
es_festivo_regional,0.0,0.0,DROP_CANDIDATE
es_festivo_local,0.0,0.0,DROP_CANDIDATE
es_pre_festivo,0.0,0.0,DROP_CANDIDATE
